"","Symbol","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","n","Gene_Name","Gene_Summary"
"11","IFNG",149.2,-178.8,2.16653635652854,0.401005025125628,127.9,0.0069,277.1,0.45862,298.5,0.55517,119.7,0.67241,1,"interferon gamma","This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]"
"12","IL10",169.4,-187.35,2.47240330291178,0.411496780273284,115.05,0.24483,284.45,0.331035,318.35,0.28276,131,0.346555,2,"interleukin 10","The protein encoded by this gene is a cytokine produced primarily by monocytes and to a lesser extent by lymphocytes. This cytokine has pleiotropic effects in immunoregulation and inflammation. It down-regulates the expression of Th1 cytokines, MHC class II Ags, and costimulatory molecules on macrophages. It also enhances B cell survival, proliferation, and antibody production. This cytokine can block NF-kappa B activity, and is involved in the regulation of the JAK-STAT signaling pathway. Knockout studies in mice suggested the function of this cytokine as an essential immunoregulator in the intestinal tract. Mutations in this gene are associated with an increased susceptibility to HIV-1 infection and rheumatoid arthritis.[provided by RefSeq, May 2011]"
"13","IL17A",203.7,-158.3,2.79788172992057,0.458803418803419,113.3,0.26897,317,0.05517,292.5,0.64138,134.2,0.26897,1," interleukin 17A","The protein encoded by this gene is a proinflammatory cytokine produced by activated T cells. This cytokine regulates the activities of NF-kappaB and mitogen-activated protein kinases. This cytokine can stimulate the expression of IL6 and cyclooxygenase-2 (PTGS2/COX-2), as well as enhance the production of nitric oxide (NO). High levels of this cytokine are associated with several chronic inflammatory diseases including rheumatoid arthritis, psoriasis and multiple sclerosis. [provided by RefSeq, Jul 2008]"
"14","IL1B",1196.5,-6604.5,10.8802642444261,0.125197027696465,121.1,0.04828,1317.6,0,7549.7,0,945.2,0,1," interleukin 1 beta ","The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2008]"
"15","IL6",210.5,-3362.5,2.34333120612636,0.663450470919118,156.7,0,367.2,0.00345,9991.1,0,6628.6,0,1,"interleukin 6","This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]"
"16","MAPK8",3150.95,-3603.7,18.6227628635347,0.0582009199247334,178.8,0,3329.75,0,3826.4,0,222.7,0,2,"mitogen-activated protein kinase 8 (JNK)","The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase is activated by various cell stimuli, and targets specific transcription factors, and thus mediates immediate-early gene expression in response to cell stimuli. The activation of this kinase by tumor-necrosis factor alpha (TNF-alpha) is found to be required for TNF-alpha induced apoptosis. This kinase is also involved in UV radiation induced apoptosis, which is thought to be related to cytochrom c-mediated cell death pathway. Studies of the mouse counterpart of this gene suggested that this kinase play a key role in T cell proliferation, apoptosis and differentiation. Several alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Apr 2016]"
"17","NFKB1",6267.4,-7262.7,9.62090784044016,0.179745205665108,727,0,6994.4,0,8854.2,0,1591.5,0,1,"nuclear factor kappa B subunit 1 ","This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth. Alternative splicing results in multiple transcript variants encoding different isoforms, at least one of which is proteolytically processed. [provided by RefSeq, Feb 2016]"
"18","NR3C1",4286.53333333333,-6488.1,19.5886094246892,0.0554336960003106,230.6,0.289656666666667,4517.13333333333,0.22184,6868.86666666667,0.105746666666667,380.766666666667,0.196553333333333,3,"nuclear receptor subfamily 3 group C member 1 ","This gene encodes glucocorticoid receptor, which can function both as a transcription factor that binds to glucocorticoid response elements in the promoters of glucocorticoid responsive genes to activate their transcription, and as a regulator of other transcription factors. This receptor is typically found in the cytoplasm, but upon ligand binding, is transported into the nucleus. It is involved in inflammatory responses, cellular proliferation, and differentiation in target tissues. Mutations in this gene are associated with generalized glucocorticoid resistance. Alternative splicing of this gene results in transcript variants encoding either the same or different isoforms. Additional isoforms resulting from the use of alternate in-frame translation initiation sites have also been described, and shown to be functional, displaying diverse cytoplasm-to-nucleus trafficking patterns and distinct transcriptional activities (PMID:15866175). [provided by RefSeq, Feb 2011]"
"19","NRIP1",493.3,-3891.8,3.26700367647059,0.27367399499832,217.6,0,710.9,0,5358.2,0,1466.4,0,1,"nuclear receptor interacting protein 1","Nuclear receptor interacting protein 1 (NRIP1) is a nuclear protein that specifically interacts with the hormone-dependent activation domain AF2 of nuclear receptors. Also known as RIP140, this protein modulates transcriptional activity of the estrogen receptor. [provided by RefSeq, Jul 2008]"
"20","PGR",169.6,-152.1,2.54885844748858,0.512343699903815,109.5,0.49655,279.1,0.4069,311.9,0.33793,159.8,0.01724,1,"progesterone receptor","This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]"
"21","PTGS2",72.95,-2241,1.31967572304996,0.144999141565403,228.2,0.001725,301.15,0.15,2621.05,0,380.05,0.006895,2,"prostaglandin-endoperoxide synthase 2","Prostaglandin-endoperoxide synthase (PTGS), also known as cyclooxygenase, is the key enzyme in prostaglandin biosynthesis, and acts both as a dioxygenase and as a peroxidase. There are two isozymes of PTGS: a constitutive PTGS1 and an inducible PTGS2, which differ in their regulation of expression and tissue distribution. This gene encodes the inducible isozyme. It is regulated by specific stimulatory events, suggesting that it is responsible for the prostanoid biosynthesis involved in inflammation and mitogenesis. [provided by RefSeq, Feb 2009]"
"22","S100B",217.6,-154.8,2.93939393939394,0.448128342245989,112.2,0.33103,329.8,0.01724,280.5,0.82069,125.7,0.46897,1,"S100 calcium binding protein B","The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21; however, this gene is located at 21q22.3. This protein may function in Neurite extension, proliferation of melanoma cells, stimulation of Ca2+ fluxes, inhibition of PKC-mediated phosphorylation, astrocytosis and axonal proliferation, and inhibition of microtubule assembly. Chromosomal rearrangements and altered expression of this gene have been implicated in several neurological, neoplastic, and other types of diseases, including Alzheimer's disease, Down's syndrome, epilepsy, amyotrophic lateral sclerosis, melanoma, and type I diabetes. [provided by RefSeq, Jul 2008]"
"23","SHBG",1361.9,-975.7,12.0186084142395,0.13301937089035,123.6,0.02069,1485.5,0,1125.4,0,149.7,0.05517,1,"sex hormone binding globulin","This gene encodes a steroid binding protein that was first described as a plasma protein secreted by the liver but is now thought to participate in the regulation of steroid responses. The encoded protein transports androgens and estrogens in the blood, binding each steroid molecule as a dimer formed from identical or nearly identical monomers. Polymorphisms in this gene have been associated with polycystic ovary syndrome and type 2 diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
"24","TGFB1",295.7,-250.9,3.73290203327172,0.354182754182754,108.2,0.58621,403.9,0.00345,388.5,0.01379,137.6,0.1931,1,"transforming growth factor beta 1 ","This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016]"
"25","TNF",254.3,-331.7,3.1209341117598,0.309246147438567,119.9,0.07241,374.2,0.00345,480.2,0.0069,148.5,0.05517,1,"tumor necrosis factor","This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, and cancer. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Jul 2008]"
"26","TNFSF10",8364.2,-12810.2,21.3558043319542,0.20506121739778,410.9,0,8775.1,0,16114.7,0,3304.5,0,1,"TNF superfamily member 10 (TRAIL)","The protein encoded by this gene is a cytokine that belongs to the tumor necrosis factor (TNF) ligand family. This protein preferentially induces apoptosis in transformed and tumor cells, but does not appear to kill normal cells although it is expressed at a significant level in most normal tissues. This protein binds to several members of TNF receptor superfamily including TNFRSF10A/TRAILR1, TNFRSF10B/TRAILR2, TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4, and possibly also to TNFRSF11B/OPG. The activity of this protein may be modulated by binding to the decoy receptors TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4, and TNFRSF11B/OPG that cannot induce apoptosis. The binding of this protein to its receptors has been shown to trigger the activation of MAPK8/JNK, caspase 8, and caspase 3. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2010]"
"27","TP53",16035.1,-16309,4.41462947189097,0.26976152737107,4696,0,20731.1,0,22333.8,0,6024.8,0,1," tumor protein p53","This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]"
"28","TRAF1",422.3,-369.55,4.6001705029838,0.270384995064166,117.3,0.26379,539.6,0.001725,506.5,0.00517,136.95,0.303445,2,"TNF receptor associated factor 1","The protein encoded by this gene is a member of the TNF receptor (TNFR) associated factor (TRAF) protein family. TRAF proteins associate with, and mediate the signal transduction from various receptors of the TNFR superfamily. This protein and TRAF2 form a heterodimeric complex, which is required for TNF-alpha-mediated activation of MAPK8/JNK and NF-kappaB. The protein complex formed by this protein and TRAF2 also interacts with inhibitor-of-apoptosis proteins (IAPs), and thus mediates the anti-apoptotic signals from TNF receptors. The expression of this protein can be induced by Epstein-Barr virus (EBV). EBV infection membrane protein 1 (LMP1) is found to interact with this and other TRAF proteins; this interaction is thought to link LMP1-mediated B lymphocyte transformation to the signal transduction from TNFR family receptors. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jul 2010]"
"29","TRIB3",10150.9,-11732.5,14.6841466702615,0.0249405780961721,741.8,0,10892.7,0,12032.6,0,300.1,0,1,"tribbles pseudokinase 3","The protein encoded by this gene is a putative protein kinase that is induced by the transcription factor NF-kappaB. The encoded protein is a negative regulator of NF-kappaB and can also sensitize cells to TNF- and TRAIL-induced apoptosis. In addition, this protein can negatively regulate the cell survival serine-threonine kinase AKT1. Differential promoter usage and alternate splicing result in multiple transcript variants. [provided by RefSeq, Jul 2014]"
"30","TRPV2",301.1,-947.5,3.68599464763604,0.12881574108128,112.1,0.33448,413.2,0,1087.6,0,140.1,0.14138,1,"transient receptor potential cation channel subfamily V member 2","This gene encodes an ion channel that is activated by high temperatures above 52 degrees Celsius. The protein may be involved in transduction of high-temperature heat responses in sensory ganglia. It is thought that in other tissues the channel may be activated by stimuli other than heat. [provided by RefSeq, Jul 2008]"
